name,ttm,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990
OperatingCashFlow,14560000000,-1208000000,1212000000,8582000000,5974000000,8170000000,6541000000,5914000000,10829000000,11299000000,4538000000,5625000000,2090000000,3555000000,3133000000,3769000000,4510000000,2611000000,1698000000,4738000000,5259000000,3847000000,1983000000,6742000000,4887000000,3252000000,1589000000,5972000000,4699000000,3579000000,1651000000,4713000000,5024000000,4090000000,685000000,5398000000,4463000000,4087000000,2935000000,5786000000,5908000000,3830000000,2241000000,5256000000,5003000000,4021000000,2774000000,5261000000,4439000000,5898000000,4642000000,6258000000,6683000000,4873000000,-6360000000,4825000000,4101000000,4514000000,3147000000,5973000000,3952000000,5042000000,3271000000,3767000000,4678000000,3665000000,1243000000,4476000000,4014000000,5143000000,3961000000,4737000000,3013000000,3809000000,3174000000,5990000000,5176000000,3591000000,1583000000,4396000000,2873000000,2133000000,2337000000,3734000000,2315000000,2560000000,1574000000,2473000000,2580000000,2396000000,1814000000,2650000000,2123000000,358000000,1064000000,1278000000,1164000000,738000000,-124000000,1395000000,808000000,618000000,108000000,468000000,484000000,410000000,267000000,755000000,589000000,502000000,221000000,654800000,417600000,191200000,557800000,481200000,404500000,357500000,245300000,680100000,321600000,229800000,31500000,353200000,259100000,170600000,24100000,367600000,171700000,231400000,76900000,403500000,128300000,216700000,112000000
CashFlowFromContinuingOperatingActivities,14553000000,-1209000000,1211000000,8582000000,5969000000,8173000000,6543000000,6265000000,10829000000,11300000000,4529000000,1809000000,2090000000,3553000000,3134000000,3769000000,4510000000,2611000000,1698000000,4739000000,5257000000,3848000000,1984000000,6740000000,4887000000,3250000000,1591000000,5973000000,4698000000,3579000000,1651000000,4713000000,5024000000,4091000000,684000000,5396000000,4464000000,4087000000,2935000000,5786000000,5908000000,3830000000,2241000000,5256000000,5003000000,4021000000,2774000000,5261000000,4439000000,5898000000,4642000000,6258000000,6683000000,4873000000,-6360000000,4825000000,4101000000,4514000000,3147000000,5979000000,3952000000,5042000000,3271000000,3738000000,4578000000,3586000000,1283000000,14682000000,4051000000,5143000000,3961000000,4737000000,3013000000,3809000000,3174000000,5990000000,5176000000,3591000000,1583000000,4396000000,2873000000,2133000000,2323000000,3415000000,2315000000,2560000000,1574000000,2474000000,2580000000,2423000000,1814000000,2650000000,2123000000,358000000,1064000000,1278000000,1184000000,738000000,-124000000,1612000000,587000000,618000000,108000000,468000000,484000000,410000000,267000000,755000000,589000000,502000000,221000000,654800000,417600000,191200000,557800000,481200000,404500000,357500000,245300000,680100000,321600000,229800000,31500000,353200000,259100000,170600000,24100000,367600000,171700000,231400000,76900000,403500000,128300000,216700000,112000000
NetIncomeFromContinuingOperations,21540000000,2340000000,5555000000,5001000000,8644000000,9877000000,7879000000,3850000000,8166000000,5566000000,4877000000,-2025000000,2201000000,3435000000,3410000000,-326000000,7683000000,5056000000,3889000000,-383000000,4122000000,3879000000,3570000000,12289000000,2858000000,3078000000,3130000000,866000000,1319000000,2035000000,3026000000,-169000000,2138000000,2636000000,2381000000,1236000000,2673000000,2921000000,2338000000,2574000000,2599000000,14134000000,2765000000,6321000000,3214000000,3260000000,1803000000,1450000000,3749000000,2618000000,2234000000,2898000000,871000000,2485000000,2035000000,767000000,2881000000,2267000000,2729000000,266000000,2278000000,2776000000,2784000000,2724000000,761000000,1267000000,3392000000,9449000000,3362000000,2415000000,4111000000,2733000000,1589000000,3462000000,301000000,2825000000,3341000000,2864000000,2331000000,602000000,2235000000,-3592000000,4665000000,2856000000,2350000000,1564000000,2356000000,1957000000,2073000000,1792000000,1930000000,1412000000,1361000000,-235000000,1180000000,954000000,701000000,709000000,815000000,634000000,1397000000,628000000,692000000,558000000,596000000,457000000,602000000,504000000,514000000,394000000,517000000,410900000,425300000,316300000,420400000,334000000,336500000,257200000,370700000,288900000,-214200000,253800000,329000000,297100000,297500000,203800000,295100000,900000,274700000,179100000,267400000,154800000,243300000,151200000,251900000
OperatingGainsLosses,,,,,,,,,,,,0,0,0,-6000000,429000000,-8349000000,-162000000,-151000000,1000000000,-1002000000,-2000000,3000000,3000000,-12000000,27000000,37000000,63000000,82000000,-4000000,-853000000,999000000,38000000,32000000,-874000000,14000000,1000000,-91000000,-99000000,55000000,38000000,-10508000000,-490000000,,,,,10000000,,,,,,0,74000000,,,,,,,,375000000,-237000000,-10000000,-352000000,273000000,-545000000,-56000000,277000000,91000000,-354000000,1549000000,223000000,1282000000,968000000,-27000000,270000000,1116000000,452000000,824000000,5308000000,-2050000000,-332000000,32000000,351000000,33000000,-122000000,45000000,-166000000,51000000,-235000000,107000000,158000000,-59000000,290000000,-4000000,29000000,-5000000,-5000000,-879000000,-7000000,-187000000,,,-177000000,-449000000,,,,,,,,18600000,,,,,,,,-11300000,,,,,,,,,-67100000,0,0,-39000000
GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000000,0,,,14000000,1000000,,,55000000,38000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,31000000,-490000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EarningsLossesFromEquityInvestments,,,,,,,,0,0,0,0,0,0,0,-6000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PensionAndEmployeeBenefitExpense,,,,,,,,,,,,-147000000,-1225000000,-170000000,-248000000,93000000,-116000000,-162000000,-151000000,-95000000,-174000000,-134000000,-692000000,81000000,37000000,-93000000,-986000000,63000000,82000000,-4000000,-853000000,187000000,38000000,32000000,-874000000,9000000,-84000000,-25000000,-99000000,52000000,94000000,93000000,71000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DepreciationAmortizationDepletion,5762000000,1573000000,1487000000,1519000000,1183000000,1175000000,1187000000,1277000000,1360000000,1328000000,1226000000,1046000000,1262000000,1251000000,1218000000,1384000000,1553000000,1528000000,1545000000,1641000000,1614000000,1562000000,1567000000,1574000000,1566000000,1574000000,1555000000,1549000000,1396000000,1387000000,1425000000,1424000000,1272000000,1201000000,1260000000,1331000000,1326000000,1424000000,1456000000,1592000000,1521000000,1523000000,1774000000,1895000000,1714000000,1750000000,2252000000,2370000000,2247000000,2305000000,2104000000,1994000000,2229000000,2213000000,2051000000,1774000000,969000000,1006000000,1008000000,1178000000,1196000000,1229000000,1487000000,1116000000,1372000000,1441000000,1271000000,1267000000,1332000000,1343000000,1351000000,1433000000,1367000000,1410000000,1366000000,1311000000,1265000000,1256000000,1261000000,1751000000,1105000000,953000000,269000000,225000000,275000000,265000000,271000000,296000000,250000000,268000000,254000000,261000000,234000000,326000000,147000000,161000000,137000000,116000000,128000000,45000000,176000000,134000000,134000000,130000000,128000000,130000000,114000000,121000000,102000000,106000000,101000000,107800000,85300000,65300000,115600000,78400000,74100000,68400000,71100000,67000000,66000000,63100000,62100000,64800000,68900000,64500000,65700000,59700000,61000000,62100000,61300000,56300000,56700000,54700000,57100000
DepreciationAndAmortization,5762000000,1573000000,1487000000,1519000000,1183000000,1175000000,1187000000,1277000000,1360000000,1328000000,1226000000,1046000000,1262000000,1251000000,1218000000,1384000000,1553000000,1528000000,1545000000,1641000000,1614000000,1562000000,1567000000,1574000000,1566000000,1574000000,1555000000,1549000000,1396000000,1387000000,1425000000,1424000000,1272000000,1201000000,1260000000,1331000000,1326000000,1424000000,1456000000,1592000000,1521000000,1523000000,1774000000,1895000000,1714000000,1750000000,2252000000,2370000000,2247000000,2305000000,2104000000,1994000000,2229000000,2213000000,2051000000,1774000000,969000000,1006000000,1008000000,1178000000,1196000000,1229000000,1487000000,1116000000,1372000000,1441000000,1271000000,1267000000,1332000000,1343000000,1351000000,1433000000,1367000000,1410000000,1366000000,1311000000,1265000000,1256000000,1261000000,1751000000,1105000000,953000000,269000000,225000000,275000000,265000000,271000000,296000000,250000000,268000000,254000000,261000000,234000000,326000000,147000000,161000000,137000000,116000000,128000000,45000000,176000000,134000000,134000000,130000000,128000000,130000000,114000000,121000000,102000000,106000000,101000000,107800000,85300000,65300000,115600000,78400000,74100000,68400000,71100000,67000000,66000000,63100000,62100000,64800000,68900000,64500000,65700000,59700000,61000000,62100000,61300000,56300000,56700000,54700000,57100000
