name,ttm,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,77943000000,12734000000,18282000000,24290000000,22638000000,27742000000,25661000000,23838000000,24094000000,18977000000,14582000000,11684000000,12131000000,11801000000,12028000000,12688000000,12680000000,13264000000,13118000000,13976000000,13298000000,13466000000,12906000000,13703000000,13168000000,12896000000,12779000000,13627000000,13045000000,13147000000,13005000000,14047000000,12087000000,11853000000,10864000000,13118000000,12361000000,12773000000,11353000000,13558000000,12643000000,12973000000,13500000000,15068000000,13976000000,15057000000,15405000000,16746000000,17193000000,16984000000,16502000000,17561000000,16171000000,17327000000,16750000000,16537000000,11621000000,10984000000,10867000000,12346000000,11973000000,12129000000,11848000000,12870000000,11990000000,11084000000,12474000000,12603000000,12280000000,11741000000,12660000000,13593000000,12189000000,12425000000,13091000000,14923000000,12831000000,12274000000,12487000000,14166000000,12504000000,9993000000,8525000000,7196000000,8725000000,8033000000,8418000000,9030000000,7898000000,7686000000,7645000000,8106000000,7205000000,7041000000,4315000000,4507000000,3992000000,3779000000,3927000000,3866000000,3330000000,3633000000,3339000000,3496000000,3094000000,2913000000,3002000000,3160000000,2803000000,2661000000,2682000000,2744300000,2538500000,2482000000,2402900000,2300200000,2074900000,1923300000,1982900000,1989200000,1872500000,1748700000,1867300000,1947100000,1827600000,1694200000,1761300000,1850200000,1773000000,1631100000,1695700000,1785300000,1643000000,1495700000,1482000000,1494000000,1438500000,1302700000,1436300000,1368200000,1382900000,1336400000,1297900000,1275200000,1297900000,1227100000,1119600000,1162900000,1163100000,1117900000,1032100000,1057900000,1012800000
OperatingRevenue,77943000000,12734000000,18282000000,24290000000,22638000000,27742000000,25661000000,23838000000,24094000000,18977000000,14582000000,11684000000,12131000000,11801000000,12028000000,12688000000,12680000000,13264000000,13118000000,13976000000,13298000000,13466000000,12906000000,13703000000,13168000000,12896000000,12779000000,13627000000,13045000000,13147000000,13005000000,14047000000,12087000000,11853000000,10864000000,13118000000,12361000000,12773000000,11353000000,13558000000,12643000000,12973000000,13500000000,15068000000,13976000000,15057000000,15405000000,16746000000,17193000000,16984000000,16502000000,17561000000,16171000000,17327000000,16750000000,16537000000,11621000000,10984000000,10867000000,12346000000,11973000000,12129000000,11848000000,12870000000,11990000000,11084000000,12474000000,12603000000,12280000000,11741000000,12660000000,13593000000,12189000000,12425000000,13091000000,14923000000,12831000000,12274000000,12487000000,14166000000,12504000000,9993000000,8525000000,7196000000,8725000000,8033000000,8418000000,9030000000,7898000000,7686000000,7645000000,8106000000,7205000000,7041000000,4315000000,4507000000,3992000000,3779000000,3927000000,3866000000,3330000000,3633000000,3339000000,3496000000,3094000000,2913000000,3002000000,3160000000,2803000000,2661000000,2682000000,2744300000,2538500000,2482000000,2402900000,2300200000,2074900000,1923300000,1982900000,1989200000,1872500000,1748700000,1867300000,1947100000,1827600000,1694200000,1761300000,1850200000,1773000000,1631100000,1695700000,1785300000,1643000000,1495700000,1482000000,1494000000,1438500000,1302700000,1436300000,1368200000,1382900000,1336400000,1297900000,1275200000,1297900000,1227100000,1119600000,1162900000,1163100000,1117900000,1032100000,1057900000,1012800000
CostOfRevenue,23834000000,3237000000,4886000000,9648000000,6063000000,8648000000,9984000000,9736000000,9973000000,7049000000,4211000000,2919000000,2529000000,2281000000,2378000000,2608000000,2602000000,2576000000,2433000000,3075000000,2694000000,2916000000,2563000000,3259000000,2847000000,2663000000,2470000000,3218000000,3085000000,3174000000,2851000000,3410000000,2219000000,2180000000,1838000000,2701000000,2368000000,2462000000,2045000000,2794000000,2287000000,2242000000,2652000000,3172000000,2665000000,2752000000,2974000000,3908000000,3679000000,3805000000,3693000000,4282000000,3896000000,3795000000,4306000000,3935000000,1789000000,1756000000,1408000000,1715000000,2122000000,2289000000,1986000000,2625000000,4618000000,2109000000,1887000000,2217000000,1962000000,1790000000,1973000000,2345000000,1908000000,2081000000,2191000000,2356000000,1640000000,1752000000,1794000000,3373000000,3366000000,2027000000,1065000000,328000000,1314000000,1197000000,1206000000,1483000000,1177000000,1150000000,1224000000,1210000000,1194000000,829000000,343000000,535000000,672000000,360000000,418000000,648000000,298000000,452000000,411000000,543000000,418000000,380000000,431000000,499000000,420000000,415000000,412000000,459600000,475600000,512800000,435900000,467900000,404800000,394400000,361100000,408100000,372700000,374000000,361300000,457600000,455100000,429900000,420300000,553400000,482700000,456500000,463900000,597900000,515900000,476200000,444000000,,,,,,,,,,,,,,,,,,
GrossProfit,54109000000,9497000000,13396000000,14642000000,16575000000,19094000000,15677000000,14102000000,14121000000,11928000000,10371000000,8765000000,9602000000,9520000000,9650000000,10080000000,10078000000,10688000000,10685000000,10901000000,10604000000,10550000000,10343000000,10444000000,10321000000,10233000000,10309000000,10409000000,9960000000,9973000000,10154000000,10637000000,9868000000,9673000000,9026000000,10417000000,9993000000,10311000000,9308000000,10764000000,10356000000,10731000000,10848000000,11896000000,11311000000,12305000000,12431000000,12838000000,13514000000,13179000000,12809000000,13279000000,12275000000,13532000000,12444000000,12602000000,9832000000,9228000000,9459000000,10631000000,9851000000,9840000000,9862000000,10245000000,7372000000,8975000000,10587000000,10386000000,10318000000,9951000000,10687000000,11248000000,10281000000,10344000000,10900000000,12567000000,11191000000,10522000000,10693000000,10793000000,9138000000,7966000000,7460000000,6868000000,7411000000,6836000000,7212000000,7547000000,6721000000,6536000000,6421000000,6896000000,6011000000,6212000000,3972000000,3972000000,3320000000,3419000000,3509000000,3218000000,3032000000,3181000000,2928000000,2953000000,2676000000,2533000000,2571000000,2661000000,2383000000,2246000000,2270000000,2284700000,2062900000,1969200000,1967000000,1832300000,1670100000,1528900000,1621800000,1581100000,1499800000,1374700000,1506000000,1489500000,1372500000,1264300000,1341000000,1296800000,1290300000,1174600000,1231800000,1187400000,1127100000,1019500000,1038000000,,,,,,,,,,,,,,,,,,
OperatingExpense,30653000000,7329000000,7026000000,9389000000,6909000000,6685000000,5729000000,10976000000,7333000000,6318000000,5669000000,7967000000,6274000000,6067000000,5482000000,8094000000,6755000000,6537000000,6225000000,7717000000,6755000000,6530000000,6351000000,8049000000,6536000000,6413000000,6202000000,8056000000,6408000000,6180000000,6122000000,8376000000,5929000000,5992000000,5929000000,8139000000,6330000000,6280000000,5780000000,7086000000,6139000000,6261000000,6619000000,8187000000,7056000000,6967000000,7625000000,9384000000,8206000000,8605000000,8797000000,10921000000,10336000000,8672000000,8485000000,9175000000,5668000000,5720000000,5102000000,6567000000,6029000000,6492000000,6062000000,7669000000,6541000000,6792000000,5841000000,7789000000,6451000000,6446000000,6226000000,7609000000,6550000000,6960000000,6731000000,7872000000,6767000000,6907000000,5582000000,8000000000,6532000000,6075000000,3966000000,3546000000,4213000000,4257000000,4035000000,4784000000,3882000000,3950000000,3633000000,4599000000,3723000000,4287000000,2522000000,2666000000,2303000000,2348000000,2353000000,2422000000,2049000000,2208000000,1971000000,2118000000,1791000000,1836000000,1641000000,1860000000,1548000000,1672000000,1461000000,1610900000,1371500000,1432800000,1336100000,1329400000,1163200000,1131700000,1056300000,1926700000,1051600000,821000000,1018200000,1132300000,969500000,989900000,932200000,1036000000,916900000,928000000,859100000,976800000,798600000,810200000,732600000,,,,,,,,,,,,,,,,,,
SellingGeneralAndAdministration,14949000000,3497000000,3418000000,4644000000,3391000000,3048000000,2593000000,4104000000,2905000000,2928000000,2783000000,3757000000,3016000000,3030000000,2873000000,4240000000,3260000000,3511000000,3339000000,4007000000,3494000000,3542000000,3412000000,4551000000,3500000000,3425000000,3308000000,4423000000,3559000000,3471000000,3385000000,5048000000,3270000000,3386000000,3104000000,3982000000,3556000000,3520000000,3040000000,4152000000,3395000000,3591000000,3585000000,4815000000,3847000000,3977000000,4133000000,5371000000,4621000000,4973000000,4503000000,5738000000,6986000000,4807000000,4436000000,5367000000,3282000000,3350000000,2876000000,3659000000,3523000000,3863000000,3492000000,4653000000,3768000000,3844000000,3361000000,4562000000,3751000000,3881000000,3810000000,4755000000,3931000000,4226000000,4085000000,4676000000,4036000000,4258000000,3933000000,4682000000,4043000000,3773000000,2744000000,2088000000,2946000000,2983000000,2829000000,3238000000,2671000000,2810000000,2580000000,3075000000,2698000000,2875000000,1663000000,1745000000,1472000000,1565000000,1570000000,1679000000,1323000000,1500000000,1332000000,1411000000,1186000000,1245000000,982000000,1739000000,1446000000,1566000000,1360000000,1503100000,1311400000,1342300000,1220500000,1251000000,1092000000,1062000000,985200000,1859700000,987900000,757900000,956100000,1067500000,903100000,925400000,866500000,976300000,855500000,866300000,797800000,920500000,742500000,754300000,675500000,,,,,,,,,,,,,,,,,,
ResearchAndDevelopment,11465000000,2648000000,2505000000,3615000000,2696000000,2815000000,2301000000,5915000000,3447000000,2459000000,2014000000,3354000000,2360000000,2132000000,1724000000,2822000000,2283000000,1842000000,1703000000,2457000000,2008000000,1797000000,1743000000,2311000000,1859000000,1780000000,1708000000,2512000000,1881000000,1748000000,1731000000,2348000000,1722000000,1734000000,1885000000,3209000000,1802000000,1759000000,1623000000,1811000000,1627000000,1530000000,1800000000,2136000000,1981000000,1699000000,2072000000,2596000000,2188000000,2237000000,2091000000,2806000000,2194000000,2187000000,2226000000,2881000000,1632000000,1715000000,1705000000,2303000000,1885000000,1966000000,1791000000,2260000000,1999000000,2165000000,1665000000,2412000000,1902000000,1742000000,1588000000,2021000000,1783000000,1875000000,1764000000,2328000000,1888000000,1819000000,1649000000,2318000000,1879000000,1717000000,1218000000,1455000000,1263000000,1257000000,1201000000,1515000000,1188000000,1116000000,1028000000,1263000000,1025000000,1086000000,712000000,760000000,694000000,667000000,655000000,698000000,550000000,574000000,505000000,577000000,477000000,461000000,545000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DepreciationAmortizationDepletionIncomeStatement,4239000000,1184000000,1103000000,1130000000,822000000,822000000,835000000,957000000,981000000,931000000,872000000,856000000,898000000,905000000,885000000,1032000000,1212000000,1184000000,1183000000,1253000000,1253000000,1191000000,1196000000,1187000000,1177000000,1208000000,1186000000,1121000000,968000000,961000000,1006000000,980000000,937000000,872000000,940000000,948000000,972000000,1001000000,1117000000,1123000000,1117000000,1140000000,1234000000,1236000000,1228000000,1291000000,1420000000,1417000000,1397000000,1395000000,1376000000,1432000000,1156000000,1407000000,1409000000,1122000000,594000000,583000000,578000000,605000000,621000000,663000000,779000000,756000000,774000000,783000000,815000000,815000000,798000000,823000000,828000000,833000000,836000000,859000000,882000000,868000000,843000000,830000000,,1000000000,610000000,585000000,4000000,3000000,4000000,17000000,5000000,31000000,23000000,24000000,25000000,261000000,,326000000,147000000,161000000,137000000,116000000,128000000,45000000,176000000,134000000,134000000,130000000,128000000,130000000,114000000,121000000,102000000,106000000,101000000,107800000,60100000,90500000,115600000,78400000,71200000,69700000,71100000,67000000,63700000,63100000,62100000,64800000,66400000,64500000,65700000,59700000,61400000,61700000,61300000,56300000,56100000,55900000,57100000,,,,,,,,,,,,,,,,,,
DepreciationAndAmortizationInIncomeStatement,4239000000,1184000000,1103000000,1130000000,822000000,822000000,835000000,957000000,981000000,931000000,872000000,856000000,898000000,905000000,885000000,1032000000,1212000000,1184000000,1183000000,1253000000,1253000000,1191000000,1196000000,1187000000,1177000000,1208000000,1186000000,1121000000,968000000,961000000,1006000000,980000000,937000000,872000000,940000000,948000000,972000000,1001000000,1117000000,1123000000,1117000000,1140000000,1234000000,1236000000,1228000000,1291000000,1420000000,1417000000,1397000000,1395000000,1376000000,1432000000,1156000000,1407000000,1409000000,1122000000,594000000,583000000,578000000,605000000,621000000,663000000,779000000,756000000,774000000,783000000,815000000,815000000,798000000,823000000,828000000,833000000,836000000,859000000,882000000,868000000,843000000,830000000,,1000000000,610000000,585000000,4000000,3000000,4000000,17000000,5000000,31000000,23000000,24000000,25000000,261000000,,326000000,147000000,161000000,137000000,116000000,128000000,45000000,176000000,134000000,134000000,130000000,128000000,130000000,114000000,121000000,102000000,106000000,101000000,107800000,60100000,90500000,115600000,78400000,71200000,69700000,71100000,67000000,63700000,63100000,62100000,64800000,66400000,64500000,65700000,59700000,61400000,61700000,61300000,56300000,56100000,55900000,57100000,,,,,,,,,,,,,,,,,,
Amortization,4239000000,1184000000,1103000000,1130000000,822000000,822000000,835000000,957000000,981000000,931000000,872000000,856000000,898000000,905000000,885000000,1032000000,1212000000,1184000000,1183000000,1253000000,1253000000,1191000000,1196000000,1187000000,1177000000,1208000000,1186000000,1121000000,968000000,961000000,1006000000,980000000,937000000,872000000,940000000,948000000,972000000,1001000000,1117000000,1123000000,1117000000,1140000000,1234000000,1236000000,1228000000,1291000000,1420000000,1417000000,1397000000,1395000000,1376000000,1432000000,1156000000,1407000000,1409000000,1122000000,594000000,583000000,578000000,605000000,621000000,663000000,779000000,756000000,774000000,783000000,815000000,815000000,798000000,823000000,828000000,833000000,836000000,859000000,882000000,868000000,843000000,830000000,,1000000000,610000000,585000000,4000000,3000000,4000000,17000000,5000000,31000000,23000000,24000000,25000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
