name,ttm,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"77,943,000,000","12,734,000,000","18,282,000,000","24,290,000,000","22,638,000,000","27,742,000,000","25,661,000,000","23,838,000,000","24,094,000,000","18,977,000,000","14,582,000,000","11,684,000,000","12,131,000,000","11,801,000,000","12,028,000,000","12,688,000,000","12,680,000,000","13,264,000,000","13,118,000,000","13,976,000,000","13,298,000,000","13,466,000,000","12,906,000,000","13,703,000,000","13,168,000,000","12,896,000,000","12,779,000,000","13,627,000,000","13,045,000,000","13,147,000,000","13,005,000,000","14,047,000,000","12,087,000,000","11,853,000,000","10,864,000,000","13,118,000,000","12,361,000,000","12,773,000,000","11,353,000,000","13,558,000,000","12,643,000,000","12,973,000,000","13,500,000,000","15,068,000,000","13,976,000,000","15,057,000,000","15,405,000,000","16,746,000,000","17,193,000,000","16,984,000,000","16,502,000,000","17,561,000,000","16,171,000,000","17,327,000,000","16,750,000,000","16,537,000,000","11,621,000,000","10,984,000,000","10,867,000,000","12,346,000,000","11,973,000,000","12,129,000,000","11,848,000,000","12,870,000,000","11,990,000,000","11,084,000,000","12,474,000,000","12,603,000,000","12,280,000,000","11,741,000,000","12,660,000,000","13,593,000,000","12,189,000,000","12,425,000,000","13,091,000,000","14,923,000,000","12,831,000,000","12,274,000,000","12,487,000,000","14,166,000,000","12,504,000,000","9,993,000,000","8,525,000,000","7,196,000,000","8,725,000,000","8,033,000,000","8,418,000,000","9,030,000,000","7,898,000,000","7,686,000,000","7,645,000,000","8,106,000,000","7,205,000,000","7,041,000,000","4,315,000,000","4,507,000,000","3,992,000,000","3,779,000,000","3,927,000,000","3,866,000,000","3,330,000,000","3,633,000,000","3,339,000,000","3,496,000,000","3,094,000,000","2,913,000,000","3,002,000,000","3,160,000,000","2,803,000,000","2,661,000,000","2,682,000,000","2,744,300,000","2,538,500,000","2,482,000,000","2,402,900,000","2,300,200,000","2,074,900,000","1,923,300,000","1,982,900,000","1,989,200,000","1,872,500,000","1,748,700,000","1,867,300,000","1,947,100,000","1,827,600,000","1,694,200,000","1,761,300,000","1,850,200,000","1,773,000,000","1,631,100,000","1,695,700,000","1,785,300,000","1,643,000,000","1,495,700,000","1,482,000,000","1,494,000,000","1,438,500,000","1,302,700,000","1,436,300,000","1,368,200,000","1,382,900,000","1,336,400,000","1,297,900,000","1,275,200,000","1,297,900,000","1,227,100,000","1,119,600,000","1,162,900,000","1,163,100,000","1,117,900,000","1,032,100,000","1,057,900,000","1,012,800,000"
	OperatingRevenue,"77,943,000,000","12,734,000,000","18,282,000,000","24,290,000,000","22,638,000,000","27,742,000,000","25,661,000,000","23,838,000,000","24,094,000,000","18,977,000,000","14,582,000,000","11,684,000,000","12,131,000,000","11,801,000,000","12,028,000,000","12,688,000,000","12,680,000,000","13,264,000,000","13,118,000,000","13,976,000,000","13,298,000,000","13,466,000,000","12,906,000,000","13,703,000,000","13,168,000,000","12,896,000,000","12,779,000,000","13,627,000,000","13,045,000,000","13,147,000,000","13,005,000,000","14,047,000,000","12,087,000,000","11,853,000,000","10,864,000,000","13,118,000,000","12,361,000,000","12,773,000,000","11,353,000,000","13,558,000,000","12,643,000,000","12,973,000,000","13,500,000,000","15,068,000,000","13,976,000,000","15,057,000,000","15,405,000,000","16,746,000,000","17,193,000,000","16,984,000,000","16,502,000,000","17,561,000,000","16,171,000,000","17,327,000,000","16,750,000,000","16,537,000,000","11,621,000,000","10,984,000,000","10,867,000,000","12,346,000,000","11,973,000,000","12,129,000,000","11,848,000,000","12,870,000,000","11,990,000,000","11,084,000,000","12,474,000,000","12,603,000,000","12,280,000,000","11,741,000,000","12,660,000,000","13,593,000,000","12,189,000,000","12,425,000,000","13,091,000,000","14,923,000,000","12,831,000,000","12,274,000,000","12,487,000,000","14,166,000,000","12,504,000,000","9,993,000,000","8,525,000,000","7,196,000,000","8,725,000,000","8,033,000,000","8,418,000,000","9,030,000,000","7,898,000,000","7,686,000,000","7,645,000,000","8,106,000,000","7,205,000,000","7,041,000,000","4,315,000,000","4,507,000,000","3,992,000,000","3,779,000,000","3,927,000,000","3,866,000,000","3,330,000,000","3,633,000,000","3,339,000,000","3,496,000,000","3,094,000,000","2,913,000,000","3,002,000,000","3,160,000,000","2,803,000,000","2,661,000,000","2,682,000,000","2,744,300,000","2,538,500,000","2,482,000,000","2,402,900,000","2,300,200,000","2,074,900,000","1,923,300,000","1,982,900,000","1,989,200,000","1,872,500,000","1,748,700,000","1,867,300,000","1,947,100,000","1,827,600,000","1,694,200,000","1,761,300,000","1,850,200,000","1,773,000,000","1,631,100,000","1,695,700,000","1,785,300,000","1,643,000,000","1,495,700,000","1,482,000,000","1,494,000,000","1,438,500,000","1,302,700,000","1,436,300,000","1,368,200,000","1,382,900,000","1,336,400,000","1,297,900,000","1,275,200,000","1,297,900,000","1,227,100,000","1,119,600,000","1,162,900,000","1,163,100,000","1,117,900,000","1,032,100,000","1,057,900,000","1,012,800,000"
CostOfRevenue,"23,834,000,000","3,237,000,000","4,886,000,000","9,648,000,000","6,063,000,000","8,648,000,000","9,984,000,000","9,736,000,000","9,973,000,000","7,049,000,000","4,211,000,000","2,919,000,000","2,529,000,000","2,281,000,000","2,378,000,000","2,608,000,000","2,602,000,000","2,576,000,000","2,433,000,000","3,075,000,000","2,694,000,000","2,916,000,000","2,563,000,000","3,259,000,000","2,847,000,000","2,663,000,000","2,470,000,000","3,218,000,000","3,085,000,000","3,174,000,000","2,851,000,000","3,410,000,000","2,219,000,000","2,180,000,000","1,838,000,000","2,701,000,000","2,368,000,000","2,462,000,000","2,045,000,000","2,794,000,000","2,287,000,000","2,242,000,000","2,652,000,000","3,172,000,000","2,665,000,000","2,752,000,000","2,974,000,000","3,908,000,000","3,679,000,000","3,805,000,000","3,693,000,000","4,282,000,000","3,896,000,000","3,795,000,000","4,306,000,000","3,935,000,000","1,789,000,000","1,756,000,000","1,408,000,000","1,715,000,000","2,122,000,000","2,289,000,000","1,986,000,000","2,625,000,000","4,618,000,000","2,109,000,000","1,887,000,000","2,217,000,000","1,962,000,000","1,790,000,000","1,973,000,000","2,345,000,000","1,908,000,000","2,081,000,000","2,191,000,000","2,356,000,000","1,640,000,000","1,752,000,000","1,794,000,000","3,373,000,000","3,366,000,000","2,027,000,000","1,065,000,000","328,000,000","1,314,000,000","1,197,000,000","1,206,000,000","1,483,000,000","1,177,000,000","1,150,000,000","1,224,000,000","1,210,000,000","1,194,000,000","829,000,000","343,000,000","535,000,000","672,000,000","360,000,000","418,000,000","648,000,000","298,000,000","452,000,000","411,000,000","543,000,000","418,000,000","380,000,000","431,000,000","499,000,000","420,000,000","415,000,000","412,000,000","459,600,000","475,600,000","512,800,000","435,900,000","467,900,000","404,800,000","394,400,000","361,100,000","408,100,000","372,700,000","374,000,000","361,300,000","457,600,000","455,100,000","429,900,000","420,300,000","553,400,000","482,700,000","456,500,000","463,900,000","597,900,000","515,900,000","476,200,000","444,000,000",,,,,,,,,,,,,,,,,,
GrossProfit,"54,109,000,000","9,497,000,000","13,396,000,000","14,642,000,000","16,575,000,000","19,094,000,000","15,677,000,000","14,102,000,000","14,121,000,000","11,928,000,000","10,371,000,000","8,765,000,000","9,602,000,000","9,520,000,000","9,650,000,000","10,080,000,000","10,078,000,000","10,688,000,000","10,685,000,000","10,901,000,000","10,604,000,000","10,550,000,000","10,343,000,000","10,444,000,000","10,321,000,000","10,233,000,000","10,309,000,000","10,409,000,000","9,960,000,000","9,973,000,000","10,154,000,000","10,637,000,000","9,868,000,000","9,673,000,000","9,026,000,000","10,417,000,000","9,993,000,000","10,311,000,000","9,308,000,000","10,764,000,000","10,356,000,000","10,731,000,000","10,848,000,000","11,896,000,000","11,311,000,000","12,305,000,000","12,431,000,000","12,838,000,000","13,514,000,000","13,179,000,000","12,809,000,000","13,279,000,000","12,275,000,000","13,532,000,000","12,444,000,000","12,602,000,000","9,832,000,000","9,228,000,000","9,459,000,000","10,631,000,000","9,851,000,000","9,840,000,000","9,862,000,000","10,245,000,000","7,372,000,000","8,975,000,000","10,587,000,000","10,386,000,000","10,318,000,000","9,951,000,000","10,687,000,000","11,248,000,000","10,281,000,000","10,344,000,000","10,900,000,000","12,567,000,000","11,191,000,000","10,522,000,000","10,693,000,000","10,793,000,000","9,138,000,000","7,966,000,000","7,460,000,000","6,868,000,000","7,411,000,000","6,836,000,000","7,212,000,000","7,547,000,000","6,721,000,000","6,536,000,000","6,421,000,000","6,896,000,000","6,011,000,000","6,212,000,000","3,972,000,000","3,972,000,000","3,320,000,000","3,419,000,000","3,509,000,000","3,218,000,000","3,032,000,000","3,181,000,000","2,928,000,000","2,953,000,000","2,676,000,000","2,533,000,000","2,571,000,000","2,661,000,000","2,383,000,000","2,246,000,000","2,270,000,000","2,284,700,000","2,062,900,000","1,969,200,000","1,967,000,000","1,832,300,000","1,670,100,000","1,528,900,000","1,621,800,000","1,581,100,000","1,499,800,000","1,374,700,000","1,506,000,000","1,489,500,000","1,372,500,000","1,264,300,000","1,341,000,000","1,296,800,000","1,290,300,000","1,174,600,000","1,231,800,000","1,187,400,000","1,127,100,000","1,019,500,000","1,038,000,000",,,,,,,,,,,,,,,,,,
OperatingExpense,"30,653,000,000","7,329,000,000","7,026,000,000","9,389,000,000","6,909,000,000","6,685,000,000","5,729,000,000","10,976,000,000","7,333,000,000","6,318,000,000","5,669,000,000","7,967,000,000","6,274,000,000","6,067,000,000","5,482,000,000","8,094,000,000","6,755,000,000","6,537,000,000","6,225,000,000","7,717,000,000","6,755,000,000","6,530,000,000","6,351,000,000","8,049,000,000","6,536,000,000","6,413,000,000","6,202,000,000","8,056,000,000","6,408,000,000","6,180,000,000","6,122,000,000","8,376,000,000","5,929,000,000","5,992,000,000","5,929,000,000","8,139,000,000","6,330,000,000","6,280,000,000","5,780,000,000","7,086,000,000","6,139,000,000","6,261,000,000","6,619,000,000","8,187,000,000","7,056,000,000","6,967,000,000","7,625,000,000","9,384,000,000","8,206,000,000","8,605,000,000","8,797,000,000","10,921,000,000","10,336,000,000","8,672,000,000","8,485,000,000","9,175,000,000","5,668,000,000","5,720,000,000","5,102,000,000","6,567,000,000","6,029,000,000","6,492,000,000","6,062,000,000","7,669,000,000","6,541,000,000","6,792,000,000","5,841,000,000","7,789,000,000","6,451,000,000","6,446,000,000","6,226,000,000","7,609,000,000","6,550,000,000","6,960,000,000","6,731,000,000","7,872,000,000","6,767,000,000","6,907,000,000","5,582,000,000","8,000,000,000","6,532,000,000","6,075,000,000","3,966,000,000","3,546,000,000","4,213,000,000","4,257,000,000","4,035,000,000","4,784,000,000","3,882,000,000","3,950,000,000","3,633,000,000","4,599,000,000","3,723,000,000","4,287,000,000","2,522,000,000","2,666,000,000","2,303,000,000","2,348,000,000","2,353,000,000","2,422,000,000","2,049,000,000","2,208,000,000","1,971,000,000","2,118,000,000","1,791,000,000","1,836,000,000","1,641,000,000","1,860,000,000","1,548,000,000","1,672,000,000","1,461,000,000","1,610,900,000","1,371,500,000","1,432,800,000","1,336,100,000","1,329,400,000","1,163,200,000","1,131,700,000","1,056,300,000","1,926,700,000","1,051,600,000","821,000,000","1,018,200,000","1,132,300,000","969,500,000","989,900,000","932,200,000","1,036,000,000","916,900,000","928,000,000","859,100,000","976,800,000","798,600,000","810,200,000","732,600,000",,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"14,949,000,000","3,497,000,000","3,418,000,000","4,644,000,000","3,391,000,000","3,048,000,000","2,593,000,000","4,104,000,000","2,905,000,000","2,928,000,000","2,783,000,000","3,757,000,000","3,016,000,000","3,030,000,000","2,873,000,000","4,240,000,000","3,260,000,000","3,511,000,000","3,339,000,000","4,007,000,000","3,494,000,000","3,542,000,000","3,412,000,000","4,551,000,000","3,500,000,000","3,425,000,000","3,308,000,000","4,423,000,000","3,559,000,000","3,471,000,000","3,385,000,000","5,048,000,000","3,270,000,000","3,386,000,000","3,104,000,000","3,982,000,000","3,556,000,000","3,520,000,000","3,040,000,000","4,152,000,000","3,395,000,000","3,591,000,000","3,585,000,000","4,815,000,000","3,847,000,000","3,977,000,000","4,133,000,000","5,371,000,000","4,621,000,000","4,973,000,000","4,503,000,000","5,738,000,000","6,986,000,000","4,807,000,000","4,436,000,000","5,367,000,000","3,282,000,000","3,350,000,000","2,876,000,000","3,659,000,000","3,523,000,000","3,863,000,000","3,492,000,000","4,653,000,000","3,768,000,000","3,844,000,000","3,361,000,000","4,562,000,000","3,751,000,000","3,881,000,000","3,810,000,000","4,755,000,000","3,931,000,000","4,226,000,000","4,085,000,000","4,676,000,000","4,036,000,000","4,258,000,000","3,933,000,000","4,682,000,000","4,043,000,000","3,773,000,000","2,744,000,000","2,088,000,000","2,946,000,000","2,983,000,000","2,829,000,000","3,238,000,000","2,671,000,000","2,810,000,000","2,580,000,000","3,075,000,000","2,698,000,000","2,875,000,000","1,663,000,000","1,745,000,000","1,472,000,000","1,565,000,000","1,570,000,000","1,679,000,000","1,323,000,000","1,500,000,000","1,332,000,000","1,411,000,000","1,186,000,000","1,245,000,000","982,000,000","1,739,000,000","1,446,000,000","1,566,000,000","1,360,000,000","1,503,100,000","1,311,400,000","1,342,300,000","1,220,500,000","1,251,000,000","1,092,000,000","1,062,000,000","985,200,000","1,859,700,000","987,900,000","757,900,000","956,100,000","1,067,500,000","903,100,000","925,400,000","866,500,000","976,300,000","855,500,000","866,300,000","797,800,000","920,500,000","742,500,000","754,300,000","675,500,000",,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"11,465,000,000","2,648,000,000","2,505,000,000","3,615,000,000","2,696,000,000","2,815,000,000","2,301,000,000","5,915,000,000","3,447,000,000","2,459,000,000","2,014,000,000","3,354,000,000","2,360,000,000","2,132,000,000","1,724,000,000","2,822,000,000","2,283,000,000","1,842,000,000","1,703,000,000","2,457,000,000","2,008,000,000","1,797,000,000","1,743,000,000","2,311,000,000","1,859,000,000","1,780,000,000","1,708,000,000","2,512,000,000","1,881,000,000","1,748,000,000","1,731,000,000","2,348,000,000","1,722,000,000","1,734,000,000","1,885,000,000","3,209,000,000","1,802,000,000","1,759,000,000","1,623,000,000","1,811,000,000","1,627,000,000","1,530,000,000","1,800,000,000","2,136,000,000","1,981,000,000","1,699,000,000","2,072,000,000","2,596,000,000","2,188,000,000","2,237,000,000","2,091,000,000","2,806,000,000","2,194,000,000","2,187,000,000","2,226,000,000","2,881,000,000","1,632,000,000","1,715,000,000","1,705,000,000","2,303,000,000","1,885,000,000","1,966,000,000","1,791,000,000","2,260,000,000","1,999,000,000","2,165,000,000","1,665,000,000","2,412,000,000","1,902,000,000","1,742,000,000","1,588,000,000","2,021,000,000","1,783,000,000","1,875,000,000","1,764,000,000","2,328,000,000","1,888,000,000","1,819,000,000","1,649,000,000","2,318,000,000","1,879,000,000","1,717,000,000","1,218,000,000","1,455,000,000","1,263,000,000","1,257,000,000","1,201,000,000","1,515,000,000","1,188,000,000","1,116,000,000","1,028,000,000","1,263,000,000","1,025,000,000","1,086,000,000","712,000,000","760,000,000","694,000,000","667,000,000","655,000,000","698,000,000","550,000,000","574,000,000","505,000,000","577,000,000","477,000,000","461,000,000","545,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"4,239,000,000","1,184,000,000","1,103,000,000","1,130,000,000","822,000,000","822,000,000","835,000,000","957,000,000","981,000,000","931,000,000","872,000,000","856,000,000","898,000,000","905,000,000","885,000,000","1,032,000,000","1,212,000,000","1,184,000,000","1,183,000,000","1,253,000,000","1,253,000,000","1,191,000,000","1,196,000,000","1,187,000,000","1,177,000,000","1,208,000,000","1,186,000,000","1,121,000,000","968,000,000","961,000,000","1,006,000,000","980,000,000","937,000,000","872,000,000","940,000,000","948,000,000","972,000,000","1,001,000,000","1,117,000,000","1,123,000,000","1,117,000,000","1,140,000,000","1,234,000,000","1,236,000,000","1,228,000,000","1,291,000,000","1,420,000,000","1,417,000,000","1,397,000,000","1,395,000,000","1,376,000,000","1,432,000,000","1,156,000,000","1,407,000,000","1,409,000,000","1,122,000,000","594,000,000","583,000,000","578,000,000","605,000,000","621,000,000","663,000,000","779,000,000","756,000,000","774,000,000","783,000,000","815,000,000","815,000,000","798,000,000","823,000,000","828,000,000","833,000,000","836,000,000","859,000,000","882,000,000","868,000,000","843,000,000","830,000,000",,"1,000,000,000","610,000,000","585,000,000","4,000,000","3,000,000","4,000,000","17,000,000","5,000,000","31,000,000","23,000,000","24,000,000","25,000,000","261,000,000",,"326,000,000","147,000,000","161,000,000","137,000,000","116,000,000","128,000,000","45,000,000","176,000,000","134,000,000","134,000,000","130,000,000","128,000,000","130,000,000","114,000,000","121,000,000","102,000,000","106,000,000","101,000,000","107,800,000","60,100,000","90,500,000","115,600,000","78,400,000","71,200,000","69,700,000","71,100,000","67,000,000","63,700,000","63,100,000","62,100,000","64,800,000","66,400,000","64,500,000","65,700,000","59,700,000","61,400,000","61,700,000","61,300,000","56,300,000","56,100,000","55,900,000","57,100,000",,,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"4,239,000,000","1,184,000,000","1,103,000,000","1,130,000,000","822,000,000","822,000,000","835,000,000","957,000,000","981,000,000","931,000,000","872,000,000","856,000,000","898,000,000","905,000,000","885,000,000","1,032,000,000","1,212,000,000","1,184,000,000","1,183,000,000","1,253,000,000","1,253,000,000","1,191,000,000","1,196,000,000","1,187,000,000","1,177,000,000","1,208,000,000","1,186,000,000","1,121,000,000","968,000,000","961,000,000","1,006,000,000","980,000,000","937,000,000","872,000,000","940,000,000","948,000,000","972,000,000","1,001,000,000","1,117,000,000","1,123,000,000","1,117,000,000","1,140,000,000","1,234,000,000","1,236,000,000","1,228,000,000","1,291,000,000","1,420,000,000","1,417,000,000","1,397,000,000","1,395,000,000","1,376,000,000","1,432,000,000","1,156,000,000","1,407,000,000","1,409,000,000","1,122,000,000","594,000,000","583,000,000","578,000,000","605,000,000","621,000,000","663,000,000","779,000,000","756,000,000","774,000,000","783,000,000","815,000,000","815,000,000","798,000,000","823,000,000","828,000,000","833,000,000","836,000,000","859,000,000","882,000,000","868,000,000","843,000,000","830,000,000",,"1,000,000,000","610,000,000","585,000,000","4,000,000","3,000,000","4,000,000","17,000,000","5,000,000","31,000,000","23,000,000","24,000,000","25,000,000","261,000,000",,"326,000,000","147,000,000","161,000,000","137,000,000","116,000,000","128,000,000","45,000,000","176,000,000","134,000,000","134,000,000","130,000,000","128,000,000","130,000,000","114,000,000","121,000,000","102,000,000","106,000,000","101,000,000","107,800,000","60,100,000","90,500,000","115,600,000","78,400,000","71,200,000","69,700,000","71,100,000","67,000,000","63,700,000","63,100,000","62,100,000","64,800,000","66,400,000","64,500,000","65,700,000","59,700,000","61,400,000","61,700,000","61,300,000","56,300,000","56,100,000","55,900,000","57,100,000",,,,,,,,,,,,,,,,,,
			Amortization,"4,239,000,000","1,184,000,000","1,103,000,000","1,130,000,000","822,000,000","822,000,000","835,000,000","957,000,000","981,000,000","931,000,000","872,000,000","856,000,000","898,000,000","905,000,000","885,000,000","1,032,000,000","1,212,000,000","1,184,000,000","1,183,000,000","1,253,000,000","1,253,000,000","1,191,000,000","1,196,000,000","1,187,000,000","1,177,000,000","1,208,000,000","1,186,000,000","1,121,000,000","968,000,000","961,000,000","1,006,000,000","980,000,000","937,000,000","872,000,000","940,000,000","948,000,000","972,000,000","1,001,000,000","1,117,000,000","1,123,000,000","1,117,000,000","1,140,000,000","1,234,000,000","1,236,000,000","1,228,000,000","1,291,000,000","1,420,000,000","1,417,000,000","1,397,000,000","1,395,000,000","1,376,000,000","1,432,000,000","1,156,000,000","1,407,000,000","1,409,000,000","1,122,000,000","594,000,000","583,000,000","578,000,000","605,000,000","621,000,000","663,000,000","779,000,000","756,000,000","774,000,000","783,000,000","815,000,000","815,000,000","798,000,000","823,000,000","828,000,000","833,000,000","836,000,000","859,000,000","882,000,000","868,000,000","843,000,000","830,000,000",,"1,000,000,000","610,000,000","585,000,000","4,000,000","3,000,000","4,000,000","17,000,000","5,000,000","31,000,000","23,000,000","24,000,000","25,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
